===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
ChannelF                      ;Channel F                           ;ChannelF:18_Common_EU               ;ChannelF:18_Common_EU               ;Fair. Channel F                     ;ChannelF:18_Manufacturer_EU         ;ChannelF:18_Manufacturer_EU         ;ChannelF:18_Common_EU                                   ;ChannelF:18_Common_EU                                   ;ChannelF:18_Common_EU                                   ;Fairchild Channel F                                     ;ChannelF:28_Manufacturer_EU                             ;ChannelF:28_Manufacturer_EU                             ;ChannelF:28_Manufacturer_EU                                                                                 
CoCo2                         ;Dragon 32                           ;TRS-80 CoCo 2                       ;CoCo2:18_Common_JP                  ;CoCo2:18_Common_EU                  ;Tandy TRS-80 CoCo2                  ;CoCo2:18_Manufacturer_JP            ;Dragon 32 & Tandy Color 2                               ;Tandy Color 2 & Dragon 32                               ;CoCo2:28_Common_JP                                      ;CoCo2:28_Common_EU                                      ;CoCo2:28_Common_JP                                      ;CoCo2:28_Common_JP                                      ;Dragon Data Ltd. Dragon 32  Tandy TRS-80 Color Comp. 2                                                      
CoCo3                         ;TRS-80 CoCo 3                       ;CoCo3:18_Common_EU                  ;CoCo3:18_Common_EU                  ;Tandy TRS-80 CoCo3                  ;CoCo3:18_Manufacturer_EU            ;CoCo3:18_Manufacturer_EU            ;Tandy TRS-80 Color Comp. 3                              ;CoCo3:28_Common_EU                                      ;CoCo3:28_Common_EU                                      ;CoCo3:28_Common_EU                                      ;CoCo3:28_Common_EU                                      ;CoCo3:28_Common_EU                                      ;CoCo3:28_Common_EU                                                                                          
ColecoAdam                    ;Coleco Adam                         ;ColecoAdam:18_Common_EU             ;ColecoAdam:18_Common_EU             ;ColecoAdam:18_Common_EU             ;ColecoAdam:18_Common_EU             ;ColecoAdam:18_Common_EU             ;ColecoAdam:18_Common_EU                                 ;ColecoAdam:18_Common_EU                                 ;ColecoAdam:18_Common_EU                                 ;ColecoAdam:18_Common_EU                                 ;ColecoAdam:18_Common_EU                                 ;ColecoAdam:18_Common_EU                                 ;ColecoAdam:18_Common_EU                                                                                     
CreatiVision                  ;CreatiVision                        ;CreatiVision:18_Common_EU           ;CreatiVision:18_Common_EU           ;VTech CreatiVision                  ;CreatiVision:18_Manufacturer_EU     ;CreatiVision:18_Manufacturer_EU     ;CreatiVision:18_Common_EU                               ;CreatiVision:18_Common_EU                               ;CreatiVision:18_Common_EU                               ;CreatiVision:18_Manufacturer_EU                         ;CreatiVision:18_Manufacturer_EU                         ;CreatiVision:18_Manufacturer_EU                         ;CreatiVision:18_Manufacturer_EU                                                                             
EDSAC                         ;EDSAC                               ;EDSAC:18_Common_EU                  ;EDSAC:18_Common_EU                  ;EDSAC:18_Common_EU                  ;EDSAC:18_Common_EU                  ;EDSAC:18_Common_EU                  ;EDSAC:18_Common_EU                                      ;EDSAC:18_Common_EU                                      ;EDSAC:18_Common_EU                                      ;EDSAC:18_Common_EU                                      ;EDSAC:18_Common_EU                                      ;EDSAC:18_Common_EU                                      ;EDSAC:18_Common_EU                                                                                          
eg2000                        ;EG2000                              ;eg2000:18_Common_EU                 ;eg2000:18_Common_EU                 ;EACA EG2000                         ;eg2000:18_Manufacturer_EU           ;eg2000:18_Manufacturer_EU           ;EG2000 Colour Genie                                     ;eg2000:28_Common_EU                                     ;eg2000:28_Common_EU                                     ;EACA EG2000 Colour Genie                                ;eg2000:28_Manufacturer_EU                               ;eg2000:28_Manufacturer_EU                               ;eg2000:28_Manufacturer_EU                                                                                   
F68kMiSTer                    ;X68000                              ;F68kMiSTer:18_Common_EU             ;F68kMiSTer:18_Common_EU             ;Sharp X68000                        ;F68kMiSTer:18_Manufacturer_EU       ;F68kMiSTer:18_Manufacturer_EU       ;F68kMiSTer:18_Common_EU                                 ;F68kMiSTer:18_Common_EU                                 ;F68kMiSTer:18_Common_EU                                 ;F68kMiSTer:18_Manufacturer_EU                           ;F68kMiSTer:18_Manufacturer_EU                           ;F68kMiSTer:18_Manufacturer_EU                           ;F68kMiSTer:18_Manufacturer_EU                                                                               
Galaksija                     ;Galaksija                           ;Galaksija:18_Common_EU              ;Galaksija:18_Common_EU              ;Galaksija:18_Common_EU              ;Galaksija:18_Common_EU              ;Galaksija:18_Common_EU              ;Galaksija:18_Common_EU                                  ;Galaksija:18_Common_EU                                  ;Galaksija:18_Common_EU                                  ;Galaksija:18_Common_EU                                  ;Galaksija:18_Common_EU                                  ;Galaksija:18_Common_EU                                  ;Galaksija:18_Common_EU                                                                                      
Interact                      ;Interact                            ;Interact:18_Common_EU               ;Interact:18_Common_EU               ;Interact:18_Common_EU               ;Interact:18_Common_EU               ;Interact:18_Common_EU               ;Interact Home Computer Sys.                             ;Interact:28_Common_EU                                   ;Interact:28_Common_EU                                   ;Interact:28_Common_EU                                   ;Interact:28_Common_EU                                   ;Interact:28_Common_EU                                   ;Interact                            Home Computer System                                                    
