===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
BurningRubber                 ;Data East - Burnin' Rubber          ;BurningRubber:18_Common_EU          ;Data East - Bump 'n' Jump           ;Data E.- Burnin' Rubber             ;BurningRubber:18_Common_EU          ;BurningRubber:18_Common_US          ;BurningRubber:18_Common_EU                              ;BurningRubber:18_Common_EU                              ;BurningRubber:18_Common_US                              ;BurningRubber:18_Common_EU                              ;BurningRubber:18_Common_EU                              ;BurningRubber:18_Common_US                              ;BurningRubber:18_Common_EU                                                                                  
CanyonBomber                  ;Atari - Canyon Bomber               ;CanyonBomber:18_Common_EU           ;CanyonBomber:18_Common_EU           ;CanyonBomber:18_Common_EU           ;CanyonBomber:18_Common_EU           ;CanyonBomber:18_Common_EU           ;CanyonBomber:18_Common_EU                               ;CanyonBomber:18_Common_EU                               ;CanyonBomber:18_Common_EU                               ;CanyonBomber:18_Common_EU                               ;CanyonBomber:18_Common_EU                               ;CanyonBomber:18_Common_EU                               ;CanyonBomber:18_Common_EU                                                                                   
Centipede                     ;Atari - Centipede                   ;Centipede:18_Common_EU              ;Centipede:18_Common_EU              ;Centipede:18_Common_EU              ;Centipede:18_Common_EU              ;Centipede:18_Common_EU              ;Centipede:18_Common_EU                                  ;Centipede:18_Common_EU                                  ;Centipede:18_Common_EU                                  ;Centipede:18_Common_EU                                  ;Centipede:18_Common_EU                                  ;Centipede:18_Common_EU                                  ;Centipede:18_Common_EU                                                                                      
Chameleon                     ;Jaleco - Chameleon                  ;Chameleon:18_Common_EU              ;Chameleon:18_Common_EU              ;Chameleon:18_Common_EU              ;Chameleon:18_Common_EU              ;Chameleon:18_Common_EU              ;Chameleon:18_Common_EU                                  ;Chameleon:18_Common_EU                                  ;Chameleon:18_Common_EU                                  ;Chameleon:18_Common_EU                                  ;Chameleon:18_Common_EU                                  ;Chameleon:18_Common_EU                                  ;Chameleon:18_Common_EU                                                                                      
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
ComputerSpace                 ;Syzygy Engr. Computer Space         ;ComputerSpace:18_Common_EU          ;ComputerSpace:18_Common_EU          ;Syzygy - Comp. Space                ;ComputerSpace:18_Common_EU          ;ComputerSpace:18_Common_EU          ;ComputerSpace:18_Common_EU                              ;ComputerSpace:18_Common_EU                              ;ComputerSpace:18_Common_EU                              ;ComputerSpace:18_Common_EU                              ;ComputerSpace:18_Common_EU                              ;ComputerSpace:18_Common_EU                              ;ComputerSpace:18_Common_EU                                                                                  
CosmicAvenger                 ;Universal - Cosmic Avenger          ;CosmicAvenger:18_Common_EU          ;CosmicAvenger:18_Common_EU          ;Univer - Cosmic Avenger             ;CosmicAvenger:18_Common_EU          ;CosmicAvenger:18_Common_EU          ;CosmicAvenger:18_Common_EU                              ;CosmicAvenger:18_Common_EU                              ;CosmicAvenger:18_Common_EU                              ;CosmicAvenger:18_Common_EU                              ;CosmicAvenger:18_Common_EU                              ;CosmicAvenger:18_Common_EU                              ;CosmicAvenger:18_Common_EU                                                                                  
CrazyBalloon                  ;Taito - Crazy Balloon               ;CrazyBalloon:18_Common_EU           ;CrazyBalloon:18_Common_EU           ;CrazyBalloon:18_Common_EU           ;CrazyBalloon:18_Common_EU           ;CrazyBalloon:18_Common_EU           ;CrazyBalloon:18_Common_EU                               ;CrazyBalloon:18_Common_EU                               ;CrazyBalloon:18_Common_EU                               ;CrazyBalloon:18_Common_EU                               ;CrazyBalloon:18_Common_EU                               ;CrazyBalloon:18_Common_EU                               ;CrazyBalloon:18_Common_EU                                                                                   
CrazyClimber                  ;Nichibutsu - Crazy Climber          ;CrazyClimber:18_Common_EU           ;CrazyClimber:18_Common_EU           ;Nichi.- Crazy Climber               ;CrazyClimber:18_Common_EU           ;CrazyClimber:18_Common_EU           ;CrazyClimber:18_Common_EU                               ;CrazyClimber:18_Common_EU                               ;CrazyClimber:18_Common_EU                               ;CrazyClimber:18_Common_EU                               ;CrazyClimber:18_Common_EU                               ;CrazyClimber:18_Common_EU                               ;CrazyClimber:18_Common_EU                                                                                   
CrazyKong                     ;Falcon - Crazy Kong                 ;CrazyKong:18_Common_EU              ;CrazyKong:18_Common_EU              ;CrazyKong:18_Common_EU              ;CrazyKong:18_Common_EU              ;CrazyKong:18_Common_EU              ;CrazyKong:18_Common_EU                                  ;CrazyKong:18_Common_EU                                  ;CrazyKong:18_Common_EU                                  ;CrazyKong:18_Common_EU                                  ;CrazyKong:18_Common_EU                                  ;CrazyKong:18_Common_EU                                  ;CrazyKong:18_Common_EU                                                                                      
Defender                      ;Williams, Inc. Defender             ;Defender:18_Common_EU               ;Defender:18_Common_EU               ;Willi.- Defender                    ;Defender:18_Common_EU               ;Defender:18_Common_EU               ;Defender:18_Common_EU                                   ;Defender:18_Common_EU                                   ;Defender:18_Common_EU                                   ;Defender:18_Common_EU                                   ;Defender:18_Common_EU                                   ;Defender:18_Common_EU                                   ;Defender:18_Common_EU                                                                                       
DigDug                        ;Namco - Dig Dug                     ;DigDug:18_Common_EU                 ;DigDug:18_Common_EU                 ;DigDug:18_Common_EU                 ;DigDug:18_Common_EU                 ;DigDug:18_Common_EU                 ;DigDug:18_Common_EU                                     ;DigDug:18_Common_EU                                     ;DigDug:18_Common_EU                                     ;DigDug:18_Common_EU                                     ;DigDug:18_Common_EU                                     ;DigDug:18_Common_EU                                     ;DigDug:18_Common_EU                                                                                         
Dominos                       ;Atari - Dominos                     ;Dominos:18_Common_EU                ;Dominos:18_Common_EU                ;Dominos:18_Common_EU                ;Dominos:18_Common_EU                ;Dominos:18_Common_EU                ;Dominos:18_Common_EU                                    ;Dominos:18_Common_EU                                    ;Dominos:18_Common_EU                                    ;Dominos:18_Common_EU                                    ;Dominos:18_Common_EU                                    ;Dominos:18_Common_EU                                    ;Dominos:18_Common_EU                                                                                        
DonkeyKong                    ;Nintendo - Donkey Kong              ;DonkeyKong:18_Common_EU             ;DonkeyKong:18_Common_EU             ;Nint.- Donkey Kong                  ;DonkeyKong:18_Common_EU             ;DonkeyKong:18_Common_EU             ;DonkeyKong:18_Common_EU                                 ;DonkeyKong:18_Common_EU                                 ;DonkeyKong:18_Common_EU                                 ;DonkeyKong:18_Common_EU                                 ;DonkeyKong:18_Common_EU                                 ;DonkeyKong:18_Common_EU                                 ;DonkeyKong:18_Common_EU                                                                                     
DonkeyKong3                   ;Nintendo - Donkey Kong 3            ;DonkeyKong3:18_Common_EU            ;DonkeyKong3:18_Common_EU            ;Nint.- Donkey Kong 3                ;DonkeyKong3:18_Common_EU            ;DonkeyKong3:18_Common_EU            ;DonkeyKong3:18_Common_EU                                ;DonkeyKong3:18_Common_EU                                ;DonkeyKong3:18_Common_EU                                ;DonkeyKong3:18_Common_EU                                ;DonkeyKong3:18_Common_EU                                ;DonkeyKong3:18_Common_EU                                ;DonkeyKong3:18_Common_EU                                                                                    
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
DonkeyKongJunior              ;Nintendo - Donkey Kong Jr.          ;DonkeyKongJunior:18_Common_EU       ;DonkeyKongJunior:18_Common_EU       ;Nint.- Donkey Kong Jr.              ;DonkeyKongJunior:18_Common_EU       ;DonkeyKongJunior:18_Common_EU       ;DonkeyKongJunior:18_Common_EU                           ;DonkeyKongJunior:18_Common_EU                           ;DonkeyKongJunior:18_Common_EU                           ;DonkeyKongJunior:18_Common_EU                           ;DonkeyKongJunior:18_Common_EU                           ;DonkeyKongJunior:18_Common_EU                           ;DonkeyKongJunior:18_Common_EU                                                                               
Dorodon                       ;UPL Co. - Dorodon                   ;Dorodon:18_Common_EU                ;Dorodon:18_Common_EU                ;Dorodon:18_Common_EU                ;Dorodon:18_Common_EU                ;Dorodon:18_Common_EU                ;Dorodon:18_Common_EU                                    ;Dorodon:18_Common_EU                                    ;Dorodon:18_Common_EU                                    ;Dorodon:18_Common_EU                                    ;Dorodon:18_Common_EU                                    ;Dorodon:18_Common_EU                                    ;Dorodon:18_Common_EU                                                                                        
DottoriKun                    ;SEGA - Dottori-kun                  ;DottoriKun:18_Common_EU             ;DottoriKun:18_Common_EU             ;DottoriKun:18_Common_EU             ;DottoriKun:18_Common_EU             ;DottoriKun:18_Common_EU             ;DottoriKun:18_Common_EU                                 ;DottoriKun:18_Common_EU                                 ;DottoriKun:18_Common_EU                                 ;DottoriKun:18_Common_EU                                 ;DottoriKun:18_Common_EU                                 ;DottoriKun:18_Common_EU                                 ;DottoriKun:18_Common_EU                                                                                     
Druaga                        ;Namco - The Tower of Druaga         ;Druaga:18_Common_EU                 ;Druaga:18_Common_EU                 ;Namco - Druaga                      ;Druaga:18_Common_EU                 ;Druaga:18_Common_EU                 ;Druaga:18_Common_EU                                     ;Druaga:18_Common_EU                                     ;Druaga:18_Common_EU                                     ;Druaga:18_Common_EU                                     ;Druaga:18_Common_EU                                     ;Druaga:18_Common_EU                                     ;Druaga:18_Common_EU                                                                                         
Finalizer                     ;Konami - Finalizer: Super Transformation;Finalizer:18_Common_EU              ;Finalizer:18_Common_EU              ;Konami - Finalizer                  ;Finalizer:18_Common_EU              ;Finalizer:18_Common_EU              ;Finalizer:18_Common_EU                                  ;Finalizer:18_Common_EU                                  ;Finalizer:18_Common_EU                                  ;Finalizer:18_Common_EU                                  ;Finalizer:18_Common_EU                                  ;Finalizer:18_Common_EU                                  ;Finalizer:18_Common_EU                                                                                      
FoodFight                     ;GCC - Charley Chuck's Food Fight    ;FoodFight:18_Common_EU              ;FoodFight:18_Common_EU              ;FoodFight:18_Common_EU              ;FoodFight:18_Common_EU              ;FoodFight:18_Common_EU              ;FoodFight:18_Common_EU                                  ;FoodFight:18_Common_EU                                  ;FoodFight:18_Common_EU                                  ;FoodFight:18_Common_EU                                  ;FoodFight:18_Common_EU                                  ;FoodFight:18_Common_EU                                  ;FoodFight:18_Common_EU                                                                                      
Frenzy                        ;Stern Elect. - Frenzy               ;Frenzy:18_Common_EU                 ;Frenzy:18_Common_EU                 ;Stern - Frenzy                      ;Frenzy:18_Common_EU                 ;Frenzy:18_Common_EU                 ;Frenzy:18_Common_EU                                     ;Frenzy:18_Common_EU                                     ;Frenzy:18_Common_EU                                     ;Frenzy:18_Common_EU                                     ;Stern Electronics - Frenzy                              ;Frenzy:18_Common_EU                                     ;Frenzy:18_Common_EU                                                                                         
Galaga                        ;Namco - Galaga                      ;Galaga:18_Common_EU                 ;Galaga:18_Common_EU                 ;Galaga:18_Common_EU                 ;Galaga:18_Common_EU                 ;Galaga:18_Common_EU                 ;Galaga:18_Common_EU                                     ;Galaga:18_Common_EU                                     ;Galaga:18_Common_EU                                     ;Galaga:18_Common_EU                                     ;Galaga:18_Common_EU                                     ;Galaga:18_Common_EU                                     ;Galaga:18_Common_EU                                                                                         
Galaxian                      ;Namco - Galaxian                    ;Galaxian:18_Common_EU               ;Galaxian:18_Common_EU               ;Galaxian:18_Common_EU               ;Galaxian:18_Common_EU               ;Galaxian:18_Common_EU               ;Galaxian:18_Common_EU                                   ;Galaxian:18_Common_EU                                   ;Galaxian:18_Common_EU                                   ;Galaxian:18_Common_EU                                   ;Galaxian:18_Common_EU                                   ;Galaxian:18_Common_EU                                   ;Galaxian:18_Common_EU                                                                                       
Galivan                       ;Nichibutsu - Cosmo Police Galivan   ;Galivan:18_Common_EU                ;Galivan:18_Common_EU                ;Galivan:18_Common_EU                ;Galivan:18_Common_EU                ;Galivan:18_Common_EU                ;Galivan:18_Common_EU                                    ;Galivan:18_Common_EU                                    ;Galivan:18_Common_EU                                    ;Galivan:18_Common_EU                                    ;Galivan:18_Common_EU                                    ;Galivan:18_Common_EU                                    ;Galivan:18_Common_EU                                                                                        

===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Cores                         ;names_CHAR18_Common_EU              ;names_CHAR18_Common_JP              ;names_CHAR18_Common_US              ;names_CHAR18_Manufacturer_EU        ;names_CHAR18_Manufacturer_JP        ;names_CHAR18_Manufacturer_US        ;names_CHAR28_Common_EU                                  ;names_CHAR28_Common_JP                                  ;names_CHAR28_Common_US                                  ;names_CHAR28_Manufacturer_EU                            ;names_CHAR28_Manufacturer_JP                            ;names_CHAR28_Manufacturer_US                            ;names_CHAR54_Manufacturer_EU                                                                                
===============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Gaplus                        ;Namco - Gaplus                      ;Gaplus:18_Common_EU                 ;Gaplus:18_Common_EU                 ;Gaplus:18_Common_EU                 ;Gaplus:18_Common_EU                 ;Gaplus:18_Common_EU                 ;Gaplus:18_Common_EU                                     ;Gaplus:18_Common_EU                                     ;Gaplus:18_Common_EU                                     ;Gaplus:18_Common_EU                                     ;Gaplus:18_Common_EU                                     ;Gaplus:18_Common_EU                                     ;Gaplus:18_Common_EU                                                                                         
Garegga                       ;Toaplan Version 2                   ;Garegga:18_Common_EU                ;Garegga:18_Common_EU                ;Garegga:18_Common_EU                ;Garegga:18_Common_EU                ;Garegga:18_Common_EU                ;Garegga:18_Common_EU                                    ;Garegga:18_Common_EU                                    ;Garegga:18_Common_EU                                    ;Garegga:18_Common_EU                                    ;Garegga:18_Common_EU                                    ;Garegga:18_Common_EU                                    ;Garegga:18_Common_EU                                                                                        
Gauntlet                      ;Atari - Gauntlet                    ;Gauntlet:18_Common_EU               ;Gauntlet:18_Common_EU               ;Gauntlet:18_Common_EU               ;Gauntlet:18_Common_EU               ;Gauntlet:18_Common_EU               ;Gauntlet:18_Common_EU                                   ;Gauntlet:18_Common_EU                                   ;Gauntlet:18_Common_EU                                   ;Gauntlet:18_Common_EU                                   ;Gauntlet:18_Common_EU                                   ;Gauntlet:18_Common_EU                                   ;Gauntlet:18_Common_EU                                                                                       
GnG                           ;Capcom - Ghosts 'n Goblins -old-    ;Capcom - Makaimura -old-            ;GnG:18_Common_EU                    ;Capcom - GnG (old)                  ;GnG:18_Common_JP                    ;GnG:18_Common_EU                    ;GnG:18_Common_EU                                        ;GnG:18_Common_JP                                        ;GnG:18_Common_EU                                        ;GnG:18_Common_EU                                        ;GnG:18_Common_JP                                        ;GnG:18_Common_EU                                        ;GnG:18_Common_EU                                                                                            
Gyruss                        ;Konami - Gyruss                     ;Gyruss:18_Common_EU                 ;Gyruss:18_Common_EU                 ;Gyruss:18_Common_EU                 ;Gyruss:18_Common_EU                 ;Gyruss:18_Common_EU                 ;Gyruss:18_Common_EU                                     ;Gyruss:18_Common_EU                                     ;Gyruss:18_Common_EU                                     ;Gyruss:18_Common_EU                                     ;Gyruss:18_Common_EU                                     ;Gyruss:18_Common_EU                                     ;Gyruss:18_Common_EU                                                                                         
IkariWarriors                 ;SNK - Ikari Warriors                ;SNK - Ikari                         ;IkariWarriors:18_Common_EU          ;IkariWarriors:18_Common_EU          ;IkariWarriors:18_Common_JP          ;IkariWarriors:18_Common_EU          ;IkariWarriors:18_Common_EU                              ;IkariWarriors:18_Common_JP                              ;IkariWarriors:18_Common_EU                              ;IkariWarriors:18_Common_EU                              ;IkariWarriors:18_Common_JP                              ;IkariWarriors:18_Common_EU                              ;IkariWarriors:18_Common_EU                                                                                  
Inferno                       ;Williams Elect. - Inferno           ;Inferno:18_Coomon_EU                ;Inferno:18_Common_JP                ;Inferno:18_Common_JP                ;Inferno:18_Common_JP                ;Inferno:18_Common_JP                ;Inferno:18_Common_JP                                    ;Inferno:18_Common_JP                                    ;Inferno:18_Common_JP                                    ;Inferno:18_Common_JP                                    ;Inferno:18_Common_JP                                    ;Inferno:18_Common_JP                                    ;Inferno:18_Common_JP                                                                                        
IremM62                       ;Irem M62                            ;IremM62:18_Common_EU                ;IremM62:18_Common_EU                ;IremM62:18_Common_EU                ;IremM62:18_Common_EU                ;IremM62:18_Common_EU                ;IremM62:18_Common_EU                                    ;IremM62:18_Common_EU                                    ;IremM62:18_Common_EU                                    ;IremM62:18_Common_EU                                    ;IremM62:18_Common_EU                                    ;IremM62:18_Common_EU                                    ;IremM62:18_Common_EU                                                                                        
IremM72                       ;Irem M72                            ;IremM72:18_Common_EU                ;IremM72:18_Common_EU                ;IremM72:18_Common_EU                ;IremM72:18_Common_EU                ;IremM72:18_Common_EU                ;IremM72:18_Common_EU                                    ;IremM72:18_Common_EU                                    ;IremM72:18_Common_EU                                    ;IremM72:18_Common_EU                                    ;IremM72:18_Common_EU                                    ;IremM72:18_Common_EU                                    ;IremM72:18_Common_EU                                                                                        
IronHorse                     ;Konami - Iron Horse                 ;Konami - Dai Ressha Goutou          ;IronHorse:18_Common_EU              ;IronHorse:18_Common_EU              ;IronHorse:18_Common_JP              ;IronHorse:18_Common_EU              ;IronHorse:18_Common_EU                                  ;IronHorse:18_Common_JP                                  ;IronHorse:18_Common_EU                                  ;IronHorse:18_Common_EU                                  ;IronHorse:18_Common_JP                                  ;IronHorse:18_Common_EU                                  ;IronHorse:18_Common_EU                                                                                      
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
Jackal                        ;Konami - Jackal                     ;Jackal:18_Common_EU                 ;Jackal:18_Common_EU                 ;Jackal:18_Common_EU                 ;Jackal:18_Common_EU                 ;Jackal:18_Common_EU                 ;Jackal:18_Common_EU                                     ;Jackal:18_Common_EU                                     ;Jackal:18_Common_EU                                     ;Jackal:18_Common_EU                                     ;Jackal:18_Common_EU                                     ;Jackal:18_Common_EU                                     ;Jackal:18_Common_EU                                                                                         
Jailbreak                     ;Konami - Jail Break                 ;Konami - Manhattan 24 Bunsho: New York City 151-Nishi-Dai 100 Street;jailbreak:18_Common_EU              ;Jailbreak:18_Common_US              ;jailbreak:18_Common_JP              ;Jailbreak:18_Common_US              ;Jailbreak:18_Common_US                                  ;Jailbreak:18_Manufacturer_JP                            ;Jailbreak:18_Common_US                                  ;Jailbreak:18_Common_US                                  ;Jailbreak:18_Manufacturer_JP                            ;Jailbreak:18_Common_US                                  ;Jailbreak:18_Common_US                                                                                      
Joust2                        ;Williams Elect. - Joust 2: Survival of the Fittest;Joust2:18_Common_EU                 ;Joust2:18_Common_EU                 ;Joust2:18_Common_EU                 ;Joust2:18_Common_EU                 ;Joust2:18_Common_EU                 ;Joust2:18_Common_EU                                     ;Joust2:18_Common_EU                                     ;Joust2:18_Common_EU                                     ;Joust2:18_Common_EU                                     ;Joust2:18_Common_EU                                     ;Joust2:18_Common_EU                                     ;Joust2:18_Common_EU                                                                                         
jt1942                        ;Capcom - 1942                       ;jt1942:18_Common_EU                 ;jt1942:18_Common_EU                 ;jt1942:18_Common_EU                 ;jt1942:18_Common_EU                 ;jt1942:18_Common_EU                 ;jt1942:18_Common_EU                                     ;jt1942:18_Common_EU                                     ;jt1942:18_Common_EU                                     ;jt1942:18_Common_EU                                     ;jt1942:18_Common_EU                                     ;jt1942:18_Common_EU                                     ;jt1942:18_Common_EU                                                                                         
jt1943                        ;Capcom - 1943: The Battle of Midway ;Capcom - 1943: Middouei Kaisen      ;jt1943:18_Common_EU                 ;jt1943:18_Common_EU                 ;jt1943:18_Common_JP                 ;jt1943:18_Common_EU                 ;jt1943:18_Common_EU                                     ;jt1943:18_Common_JP                                     ;jt1943:18_Common_EU                                     ;jt1943:18_Common_EU                                     ;jt1943:18_Common_JP                                     ;jt1943:18_Common_EU                                     ;jt1943:18_Common_EU                                                                                         
jtbiocom                      ;Capcom - Bionic Commando            ;Capcom - Top Secret                 ;jtbiocom:18_Common_EU               ;jtbiocom:18_Common_EU               ;jtbiocom:18_Common_JP               ;jtbiocom:18_Common_EU               ;jtbiocom:18_Common_EU                                   ;jtbiocom:18_Common_JP                                   ;jtbiocom:18_Common_EU                                   ;jtbiocom:18_Common_EU                                   ;jtbiocom:18_Common_JP                                   ;jtbiocom:18_Common_EU                                   ;jtbiocom:18_Common_EU                                                                                       
jtbtiger                      ;Capcom - Black Tiger                ;Capcom - Black Dragon               ;jtbtiger:18_Common_EU               ;jtbtiger:18_Common_EU               ;jtbtiger:18_Common_JP               ;jtbtiger:18_Common_EU               ;jtbtiger:18_Common_EU                                   ;jtbtiger:18_Common_JP                                   ;jtbtiger:18_Common_EU                                   ;jtbtiger:18_Common_EU                                   ;jtbtiger:18_Common_JP                                   ;jtbtiger:18_Common_EU                                   ;jtbtiger:18_Common_EU                                                                                       
jtbubl                        ;Taito - Bubble Bobble               ;jtbubl:18_Common_EU                 ;jtbubl:18_Common_EU                 ;jtbubl:18_Common_EU                 ;jtbubl:18_Common_EU                 ;jtbubl:18_Common_EU                 ;jtbubl:18_Common_EU                                     ;jtbubl:18_Common_EU                                     ;jtbubl:18_Common_EU                                     ;jtbubl:18_Common_EU                                     ;jtbubl:18_Common_EU                                     ;jtbubl:18_Common_EU                                     ;jtbubl:18_Common_EU                                                                                         
jtcommando                    ;Capcom - Commando                   ;Capcom - Senjou no Ookami           ;jtcommando:18_Common_EU             ;jtcommando:18_Common_EU             ;jtcommando:18_Common_JP             ;jtcommando:18_Common_EU             ;jtcommando:18_Common_EU                                 ;jtcommando:18_Common_JP                                 ;jtcommando:18_Common_EU                                 ;jtcommando:18_Common_EU                                 ;jtcommando:18_Common_JP                                 ;jtcommando:18_Common_EU                                 ;jtcommando:18_Common_EU                                                                                     
jtcomsc                       ;Konami - Combat School              ;jtcomsc:18_Common_EU                ;Konami - Boot Camp                  ;jtcomsc:18_Common_EU                ;jtcomsc:18_Common_EU                ;jtcomsc:18_Common_US                ;jtcomsc:18_Common_EU                                    ;jtcomsc:18_Common_EU                                    ;jtcomsc:18_Common_US                                    ;jtcomsc:18_Common_EU                                    ;jtcomsc:18_Common_EU                                    ;jtcomsc:18_Common_US                                    ;jtcomsc:18_Common_EU                                                                                        
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
jtcontra                      ;Konami - Gryzor                     ;Konami - Contra                     ;jtcontra:18_Common_JP               ;jtcontra:18_Common_EU               ;jtcontra:18_Common_JP               ;jtcontra:18_Common_JP               ;jtcontra:18_Common_EU                                   ;jtcontra:18_Common_JP                                   ;jtcontra:18_Common_JP                                   ;jtcontra:18_Common_EU                                   ;jtcontra:18_Common_JP                                   ;jtcontra:18_Common_JP                                   ;jtcontra:18_Common_EU                                                                                       
jtcop                         ;Data East - RoboCop                 ;jtcop:18_Common_EU                  ;jtcop:18_Common_EU                  ;jtcop:18_Common_EU                  ;jtcop:18_Common_EU                  ;jtcop:18_Common_EU                  ;jtcop:18_Common_EU                                      ;jtcop:18_Common_EU                                      ;jtcop:18_Common_EU                                      ;jtcop:18_Common_EU                                      ;jtcop:18_Common_EU                                      ;jtcop:18_Common_EU                                      ;jtcop:18_Common_EU                                                                                          
jtcps1                        ;Capcom CP System                    ;jtcps1:18_Common_EU                 ;jtcps1:18_Common_EU                 ;jtcps1:18_Common_EU                 ;jtcps1:18_Common_EU                 ;jtcps1:18_Common_EU                 ;jtcps1:18_Common_EU                                     ;jtcps1:18_Common_EU                                     ;jtcps1:18_Common_EU                                     ;jtcps1:18_Common_EU                                     ;jtcps1:18_Common_EU                                     ;jtcps1:18_Common_EU                                     ;jtcps1:18_Common_EU                                                                                         
jtcps15                       ;Capcom CP System Dash               ;jtcps15:18_Common_EU                ;jtcps15:18_Common_EU                ;jtcps15:18_Common_EU                ;jtcps15:18_Common_EU                ;jtcps15:18_Common_EU                ;jtcps15:18_Common_EU                                    ;jtcps15:18_Common_EU                                    ;jtcps15:18_Common_EU                                    ;jtcps15:18_Common_EU                                    ;jtcps15:18_Common_EU                                    ;jtcps15:18_Common_EU                                    ;jtcps15:18_Common_EU                                                                                        
jtcps2                        ;Capcom CP System II                 ;jtcps2:18_Common_EU                 ;jtcps2:18_Common_EU                 ;jtcps2:18_Common_EU                 ;jtcps2:18_Common_EU                 ;jtcps2:18_Common_EU                 ;jtcps2:18_Common_EU                                     ;jtcps2:18_Common_EU                                     ;jtcps2:18_Common_EU                                     ;jtcps2:18_Common_EU                                     ;jtcps2:18_Common_EU                                     ;jtcps2:18_Common_EU                                     ;jtcps2:18_Common_EU                                                                                         
jtdd                          ;Technos - Double Dragon             ;jtdd:18_Common_EU                   ;jtdd:18_Common_EU                   ;Technos - DD                        ;jtdd:18_Common_EU                   ;jtdd:18_Common_EU                   ;jtdd:18_Common_EU                                       ;jtdd:18_Common_EU                                       ;jtdd:18_Common_EU                                       ;jtdd:18_Common_EU                                       ;jtdd:18_Common_EU                                       ;jtdd:18_Common_EU                                       ;jtdd:18_Common_EU                                                                                           
jtdd2                         ;Technos - Double Dragon II: The Revenge;jtdd2:18_Common_EU                  ;jtdd2:18_Common_EU                  ;Technos - DD 2                      ;jtdd2:18_Common_EU                  ;jtdd2:18_Common_EU                  ;jtdd2:18_Common_EU                                      ;jtdd2:18_Common_EU                                      ;jtdd2:18_Common_EU                                      ;jtdd2:18_Common_EU                                      ;jtdd2:18_Common_EU                                      ;jtdd2:18_Common_EU                                      ;jtdd2:18_Common_EU                                                                                          
jtexed                        ;Capcom - Exed Exes                  ;jtexed:18_Common_EU                 ;Capcom - Savage Bees                ;jtexed:18_Common_EU                 ;jtexed:18_Common_EU                 ;jtexed:18_Common_US                 ;jtexed:18_Common_EU                                     ;jtexed:18_Common_EU                                     ;jtexed:18_Common_US                                     ;jtexed:18_Common_EU                                     ;jtexed:18_Common_EU                                     ;jtexed:18_Common_US                                     ;jtexed:18_Common_EU                                                                                         
jtf1dream                     ;Capcom - F-1 Dream                  ;jtf1dream:18_Common_EU              ;jtf1dream:18_Common_EU              ;jtf1dream:18_Common_EU              ;jtf1dream:18_Common_EU              ;jtf1dream:18_Common_EU              ;jtf1dream:18_Common_EU                                  ;jtf1dream:18_Common_EU                                  ;jtf1dream:18_Common_EU                                  ;jtf1dream:18_Common_EU                                  ;jtf1dream:18_Common_EU                                  ;jtf1dream:18_Common_EU                                  ;jtf1dream:18_Common_EU                                                                                      
jtflane                       ;Capcom - Fast Lane                  ;jtflane:18_Common_EU                ;jtflane:18_Common_EU                ;jtflane:18_Common_EU                ;jtflane:18_Common_EU                ;jtflane:18_Common_EU                ;jtflane:18_Common_EU                                    ;jtflane:18_Common_EU                                    ;jtflane:18_Common_EU                                    ;jtflane:18_Common_EU                                    ;jtflane:18_Common_EU                                    ;jtflane:18_Common_EU                                    ;jtflane:18_Common_EU                                                                                        
                              |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                  |                 |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                            |                           |                                                      |                                                     |
